epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2,cumulative_avg_mAP_0.5,metrics/F1_score
33,0.044734,0.011757,0,0.83559,0.70288,0.80007,0.49344,0.037792,0.0095314,0,0.008944,0.008944,0.008944,0.6464357070588235,0.763511149648677
34,0.043355,0.01166,0,0.84714,0.67511,0.7801,0.49555,0.038951,0.0098476,0,0.008911,0.008911,0.008911,0.6502546868571428,0.751404415043521
35,0.044248,0.011909,0,0.8293,0.70304,0.79514,0.50291,0.036951,0.0094249,0,0.008878,0.008878,0.008878,0.6542792788888889,0.760968286411632
36,0.043278,0.011802,0,0.86546,0.69409,0.80666,0.50979,0.036326,0.0095704,0,0.008845,0.008845,0.008845,0.6583976767567568,0.7703595670545991
37,0.04383,0.011881,0,0.85788,0.70973,0.8168,0.50189,0.036408,0.0095253,0,0.008812,0.008812,0.008812,0.6625661589473684,0.776804399563667
38,0.0435,0.011622,0,0.84894,0.68372,0.79878,0.5014,0.036832,0.0094545,0,0.008779,0.008779,0.008779,0.6660588215384615,0.7574246823170175
39,0.042448,0.011648,0,0.87184,0.71716,0.81819,0.50115,0.036393,0.0092897,0,0.008746,0.008746,0.008746,0.669862101,0.7869713963499055
40,0.044378,0.011475,0,0.84271,0.69303,0.80109,0.49824,0.035927,0.0094805,0,0.008713,0.008713,0.008713,0.6730627814634146,0.7605757632151274
41,0.043316,0.01154,0,0.85081,0.71378,0.81684,0.49901,0.035769,0.0093161,0,0.00868,0.00868,0.00868,0.6764860485714286,0.7762943158271496
42,0.042333,0.011843,0,0.85104,0.72307,0.82043,0.51369,0.035105,0.0090901,0,0.008647,0.008647,0.008647,0.6798335823255814,0.7818532285545482
43,0.04208,0.011455,0,0.82808,0.72224,0.81508,0.50744,0.035318,0.009472,0,0.008614,0.008614,0.008614,0.6829073645454545,0.7715471634243253
44,0.042449,0.011818,0,0.85751,0.72813,0.82804,0.51644,0.035018,0.0092891,0,0.008581,0.008581,0.008581,0.6861325342222222,0.7875416315178729
45,0.042543,0.011402,0,0.85199,0.7099,0.81367,0.51286,0.034935,0.0095039,0,0.008548,0.008548,0.008548,0.688905087826087,0.7744818149805685
46,0.042443,0.011533,0,0.86009,0.72577,0.82188,0.51194,0.035616,0.0091295,0,0.008515,0.008515,0.008515,0.6917343412765958,0.7872416471819708
47,0.041848,0.011734,0,0.85873,0.72678,0.82588,0.52589,0.034672,0.0091475,0,0.008482,0.008482,0.008482,0.6945290425,0.7872643999722487
48,0.04206,0.011586,0,0.86558,0.7307,0.82623,0.51392,0.035127,0.0090314,0,0.008449,0.008449,0.008449,0.6972168171428572,0.7924415591249655
49,0.040976,0.011404,0,0.84132,0.74029,0.82718,0.50283,0.035801,0.0090087,0,0.008416,0.008416,0.008416,0.6998160808,0.7875782054994594
50,0.040365,0.011326,0,0.85287,0.73641,0.82757,0.529,0.034453,0.0091759,0,0.008383,0.008383,0.008383,0.7023210596078432,0.7903729949411055
51,0.04081,0.011363,0,0.8617,0.7386,0.83831,0.53421,0.033534,0.0089638,0,0.00835,0.00835,0.00835,0.7049362315384615,0.7954153846153846
52,0.041226,0.011693,0,0.85924,0.74434,0.83785,0.53935,0.033482,0.0091411,0,0.008317,0.008317,0.008317,0.707444038490566,0.7976735823594706
53,0.040282,0.011565,0,0.85457,0.73556,0.82767,0.50875,0.036052,0.0089977,0,0.008284,0.008284,0.008284,0.7096704451851852,0.7906114710118041
54,0.040541,0.011084,0,0.8689,0.73643,0.83809,0.51745,0.034434,0.0090362,0,0.008251,0.008251,0.008251,0.7120053461818182,0.7971993633707711
55,0.041034,0.01126,0,0.86621,0.73252,0.83704,0.52625,0.033722,0.009028,0,0.008218,0.008218,0.008218,0.7142381078571428,0.793775245601196
56,0.041114,0.01141,0,0.86806,0.74436,0.84172,0.53218,0.033892,0.008904,0,0.008185,0.008185,0.008185,0.7164746322807017,0.8014650545143325
57,0.040641,0.011445,0,0.8689,0.742,0.83946,0.52511,0.034576,0.0087225,0,0.008152,0.008152,0.008152,0.7185950696551725,0.8004516729778384
58,0.040391,0.011069,0,0.87198,0.74502,0.84107,0.53604,0.033099,0.0090136,0,0.008119,0.008119,0.008119,0.7206709159322033,0.8035158189239332
